Month,Com-ID,Display_ID,Owner,Local_authority_area,Postcode,Domain,Number_of_sessions,Power_drawn_kWh,Number_of_faults,Uptime,Display_category
24-Dec,4208,52528,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Ayrshire,KA1 2AF,ChargePlace Scotland,11,311.08,0,100.00%,Public
24-Dec,4207,52512,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Lothian,EH39 5LW,ChargePlace Scotland,4,2.01,0,100.00%,Public
24-Dec,13227,53291,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,7,180.33,0,100.00%,Public
24-Dec,13219,53290,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,2,86.29,0,100.00%,Public
24-Dec,13228,53293,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,4,125.6,0,100.00%,Public
24-Dec,13224,53284,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,2,68.38,0,100.00%,Public
24-Dec,13222,53285,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,6,81.78,0,100.00%,Public
24-Dec,13223,53286,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,2,49.73,0,100.00%,Public
24-Dec,13221,53283,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,3,38.96,0,100.00%,Public
24-Dec,13220,53289,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,1,5.12,0,100.00%,Public
24-Dec,13218,53294,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,13225,53288,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,3,13.02,0,100.00%,Public
24-Dec,13226,53292,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,7,161.9,0,100.00%,Public
24-Dec,13229,53287,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,10098,52509,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Fife,KY15 5HX,ChargePlace Scotland,32,791.88,0,100.00%,Public
24-Dec,12657,52426,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,12659,52428,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,ChargePlace Scotland,54,1149.11,0,100.00%,Public
24-Dec,12660,52429,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,ChargePlace Scotland,58,1191.97,0,100.00%,Public
24-Dec,4926,52507,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Argyll and Bute,G82 5NL,ChargePlace Scotland,49,1098.28,1,100.00%,Public
24-Dec,12658,52427,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,ChargePlace Scotland,12,188.03,0,100.00%,Public
24-Dec,4925,52529,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",West Lothian,EH27 8BP,ChargePlace Scotland,3,78.04,1,100.00%,Public
24-Dec,11882,52531,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Dunbartonshire,G66 4UA,ChargePlace Scotland,44,715.46,0,100.00%,Public
24-Dec,4752,52503,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,ML6 9EX,ChargePlace Scotland,5,75.92,0,100.00%,Public
24-Dec,4893,52535,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Lothian,EH21 6TT,ChargePlace Scotland,23,427.14,0,100.00%,Public
24-Dec,4851,52533,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Lothian,EH32 0LS,ChargePlace Scotland,10,395.12,2,100.00%,Public
24-Dec,12493,52540,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Perth and Kinross,PH16 5AN,ChargePlace Scotland,9,44.6,0,100.00%,Public
24-Dec,10076,52513,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Dumfries and Galloway,DG1 1NF,ChargePlace Scotland,27,0,1,100.00%,Public
24-Dec,5013,52515,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeen City,AB21 7EQ,ChargePlace Scotland,27,394.11,0,100.00%,Public
24-Dec,4639,52518,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Moray,IV30 1QP,ChargePlace Scotland,1,0.56,0,100.00%,Public
24-Dec,4749,52532,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",West Lothian,EH49 7DH,ChargePlace Scotland,53,1139.53,0,100.00%,Public
24-Dec,11216,51634,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",South Lanarkshire,G71 7LR,ChargePlace Scotland,92,944.08,1,100.00%,Public
24-Dec,10235,52542,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Stirling,FK8 1PF,ChargePlace Scotland,30,0,1,100.00%,Public
24-Dec,4781,52115,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Aberdeen City,AB11 6LX,ChargePlace Scotland,39,0,0,100.00%,Public
24-Dec,4391,52508,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Lanarkshire,G67 2UH,ChargePlace Scotland,50,0,0,100.00%,Public
24-Dec,4748,52538,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Renfrewshire,G77 6NR,ChargePlace Scotland,40,1044.88,1,100.00%,Public
24-Dec,11510,52555,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",West Lothian,EH55 8BP,ChargePlace Scotland,30,640.82,0,100.00%,Public
24-Dec,12436,52554,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",South Lanarkshire,ML11 7JP,ChargePlace Scotland,11,118.16,0,100.00%,Public
24-Dec,12492,52177,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Argyll and Bute,PA34 4LW,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,12491,52534,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Angus,DD10 8LW,ChargePlace Scotland,3,0,0,100.00%,Public
24-Dec,51619,51619,"ChargePlace Scotland, SBP Management",North Lanarkshire,ML4 3NJ,ChargePlace Scotland,50,1590.59,1,98.20%,Public
24-Dec,51620,51620,"ChargePlace Scotland, SBP Management",North Lanarkshire,ML4 3NJ,ChargePlace Scotland,113,4284.14,1,94.30%,Public
24-Dec,51621,51621,"ChargePlace Scotland, SBP Management, SBP Management Fast",North Lanarkshire,ML4 3NJ,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,51622,51622,"ChargePlace Scotland, SBP Management, SBP Management Fast",North Lanarkshire,ML4 3NJ,ChargePlace Scotland,57,1699.43,0,100.00%,Public
24-Dec,APT51300,51300,Loch Lomond Shores,West Dunbartonshire,G83 8QL,ChargePlace Scotland,102,2486.9,0,100.00%,Public
24-Dec,FC17556,51109,"ChargePlace Scotland, Royal Zoological Society, BP - ChargePlace Scotland",City of Edinburgh,EH12 6TS,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,51968,51968,"ChargePlace Scotland, Royal Botanic Gardens Edinburgh",City of Edinburgh,EH45 9JU,ChargePlace Scotland,2,108.86,0,100.00%,Public
24-Dec,51969,51969,"ChargePlace Scotland, Royal Botanic Gardens Edinburgh",City of Edinburgh,EH45 9JU,ChargePlace Scotland,1,28.6,0,100.00%,Public
24-Dec,APT50428,50428,"ChargePlace Scotland, Royal Botanic Gardens Edinburgh",City of Edinburgh,EH45 9JU,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,13566,53274,"ChargePlace Scotland, Roddenloft Estates, BP - ChargePlace Scotland",East Ayrshire,KA5 5HH,ChargePlace Scotland,1,37.35,0,100.00%,Public
24-Dec,53132,53132,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA11 3NN,ChargePlace Scotland,140,2708.08,0,96.40%,Public
24-Dec,52650,52650,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 8QL,ChargePlace Scotland,133,2376.66,0,95.10%,Public
24-Dec,53131,53131,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8EW,ChargePlace Scotland,96,2203.28,3,97.00%,Public
24-Dec,53130,53130,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA6 7HH,ChargePlace Scotland,83,1627.99,1,98.20%,Public
24-Dec,APT51383,51383,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA3 1TL,ChargePlace Scotland,46,856.36,1,92.90%,Public
24-Dec,52655,52655,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8AX,ChargePlace Scotland,157,3404.01,2,91.00%,Public
24-Dec,51216,51216,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA3 1TL,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,50749,50749,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA1 1UJ,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,51506,51506,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,51214,51214,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA8 7AA,ChargePlace Scotland,112,2109.96,4,96.70%,Public
24-Dec,APT51014,51014,Renfrewshire Council (Private),Renfrewshire,PA3 1QN,ChargePlace Scotland,51,650.55,0,100.00%,Private
24-Dec,APT50217,50217,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,ChargePlace Scotland,34,724.53,1,100.00%,Public
24-Dec,APT50747,50747,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 8JL,ChargePlace Scotland,51,1155.45,0,100.00%,Public
24-Dec,52649,52649,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA1 1NB,ChargePlace Scotland,70,1255.45,1,91.50%,Public
24-Dec,52713,52713,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA7 5AU,ChargePlace Scotland,41,1464.74,0,98.70%,Public
24-Dec,52714,52714,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA7 5AU,ChargePlace Scotland,31,1102.43,0,100.00%,Public
24-Dec,52720,52720,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 0AP,ChargePlace Scotland,31,564.33,0,100.00%,Public
24-Dec,52721,52721,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 0AP,ChargePlace Scotland,18,400.53,0,100.00%,Public
24-Dec,APT50748,50748,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA12 4AJ,ChargePlace Scotland,51,1115.31,1,100.00%,Public
24-Dec,52099,52099,RCA Garages,West Lothian,EH47 8BS,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,51366,51366,"ChargePlace Scotland, Queen Margaret University",East Lothian,EH21 6UU,ChargePlace Scotland,10,155.59,0,100.00%,Public
24-Dec,13702,53342,"ChargePlace Scotland, Portpatrick Harbour CBS, BP - ChargePlace Scotland",Dumfries and Galloway,DG9 8AN,ChargePlace Scotland,0,0,2,100.00%,Public
